expno,fish,temp,predlcm,predw,sow,stw,time
1,Brown_trout,17.5,32,393.48,6.047,5.154,3
1,Brown_trout,17.5,30,298.04,6.046,5.389,3.25
1,Brown_trout,17.5,29,300.55,6.042,4.99,6.25
1,Brown_trout,17.5,30,283.7,6.03,4.867,6.5
1,Brown_trout,17.5,33,411.94,6.038,4.337,9
1,Brown_trout,17.5,31,359.3,6.023,4.242,11
1,Brown_trout,17.5,30,322.8,6.017,3.657,15
1,Brown_trout,17.5,33,362.034,6.029,3.086,18
1,Brown_trout,17.5,32,408.235,6.014,2.774,21
1,Brown_trout,17.5,29,274.8,6.033,2.868,24.5
1,Brown_trout,17.5,31,329.18,6.026,2.695,27
1,Brown_trout,17.5,30,292.86,6.039,2.92,30.25
1,Brown_trout,17.5,29,283.71,6.029,1.685,33
1,Brown_trout,17.5,29,270.15,6.026,1.469,37.25
1,Brown_trout,17.5,30,267.57,6.029,1.081,41
1,Brown_trout,17.5,30,283.2,6.032,0.921,45
1,Brown_trout,17.5,29,282.4,6.048,0.736,49
1,Brown_trout,17.5,29,253.2,6.043,0.405,54.5
1,Brown_trout,17.5,30,253.28,6.027,0.569,56
2,Brown_trout,17.5,30,295.9,2.013,1.689,3
2,Brown_trout,17.5,31,321.2,2.04,1.638,3.5
2,Brown_trout,17.5,29,276.75,2.036,1.545,6.08
2,Brown_trout,17.5,30,301.52,2.03,1.477,6.5
2,Brown_trout,17.5,29,274.47,2.027,1.342,9
2,Brown_trout,17.5,29,253.2,2.042,1.435,9.25
2,Brown_trout,17.5,31,356.75,2.036,1.016,10.5
2,Brown_trout,17.5,32,327.035,2.039,1.195,10.75
2,Brown_trout,17.5,30,258.56,2.006,0.921,15
2,Brown_trout,17.5,28,262.62,2.015,0.979,15.25
2,Brown_trout,17.5,31,291.28,2.022,0.438,18.5
2,Brown_trout,17.5,30,292.03,2.02,0.591,18.5
2,Brown_trout,17.5,32,386.9,2.041,0.228,21
2,Brown_trout,17.5,29,279.65,2.023,0.482,21.5
